Name,Principal_Component_1,Principal_Component_2,Housing,Cost of Living,Commute,Business Freedom,Safety,Education,Environmental Quality,Economy,Clusters
Aarhus,-1.0383929375212957,-1.9823018197765,8,6,8,10,10,6,8,6,6
Adelaide,-1.259354059103971,-0.9781566975510883,8,6,6,10,8,6,10,8,6
Albuquerque,-0.4580325852086817,1.3272611964242305,8,8,6,10,2,6,8,8,1
Almaty,2.0019793775469186,-0.5729274563645655,10,10,6,6,8,4,4,6,2
Amsterdam,-1.907894175808301,-1.2729331518825606,4,4,8,10,10,8,8,6,3
Anchorage,-1.6794549555715153,1.0261547665286435,6,4,6,10,4,4,10,8,1
Ankara,2.7566535609229836,0.04052376154577223,10,10,6,2,8,4,4,6,2
Asheville,-0.9929029951222715,1.9123022286005509,6,6,2,6,6,4,10,8,1
Asuncion,2.694758694099888,-0.14352882355456062,10,10,6,10,8,2,4,6,2
Athens,1.8160943679432766,-0.03377307402990289,10,8,6,4,8,4,4,4,2
Atlanta,-1.249407773210493,1.7973402381324113,6,6,4,8,4,8,6,8,1
Auckland,-1.4345253213236,-0.3166190303459652,6,6,6,10,8,6,10,6,3
Austin,-1.4515163683194552,0.6107915633059555,6,6,6,10,6,6,8,8,1
Baku,3.2115005157809295,-0.8917388135528707,10,10,6,10,10,2,4,4,2
Bali,-0.204666549618697,0.45043839281861286,6,2,6,6,10,2,6,6,5
Baltimore,-1.1578148314613088,1.6842847288900387,6,6,6,4,4,6,6,8,1
Bangkok,2.205403358366575,0.3709722942800331,8,8,6,6,8,2,4,4,2
Barcelona,0.4861745732125685,-0.426916429027244,8,8,6,6,8,6,4,6,4
Beijing,0.01800134376473897,-0.13255112765019825,8,10,6,8,8,8,4,8,6
Beirut,2.1375332586215325,0.8897808085802206,8,8,6,4,8,2,2,4,2
Belfast,-0.3932305976261574,-0.7276202269434457,8,8,6,6,8,6,10,6,4
Belgrade,2.946137504205761,-0.7450050673283918,10,10,6,10,8,2,6,2,2
Belize City,0.5777986436246687,3.882894540619349,6,2,2,6,8,2,4,4,5
Bengaluru,2.755377277547099,0.6907134010843593,10,10,6,4,8,2,4,6,2
Bergen,-1.978422964555053,-0.19390030239522077,6,2,6,4,8,6,8,8,4
Berlin,-0.984897373374366,-1.3488680322664819,8,6,8,10,8,8,8,6,6
Bern,-2.6038261009572397,-0.9897479206710479,6,2,6,10,10,6,10,8,3
Bilbao,-0.18412946711175607,-1.5530055494902997,8,6,6,10,10,4,10,6,6
Birmingham,-0.38764094297478174,-0.3757637309150935,6,6,6,8,8,6,6,6,6
Birmingham,-0.6268357039900544,2.7736007918925893,8,6,4,10,2,4,8,8,1
Bogota,2.0928399602423764,-0.05758704237712852,10,10,6,10,8,2,6,6,2
Boise,-0.43529330163315605,0.446471638992995,8,8,6,8,6,4,10,8,1
Bologna,0.5845303375349005,-0.8002746207847402,8,6,6,10,8,6,6,4,6
Bordeaux,-0.16867827127271257,-0.7523707459911109,8,6,6,8,8,6,8,6,6
Boston,-3.25833851052178,-0.25617778357400234,2,6,6,10,8,10,10,8,3
Boulder,-2.140942359976599,-0.8817007377108469,4,6,8,10,8,6,10,8,3
Bozeman,-2.9464229854592237,2.485995872341926,4,2,2,10,8,6,10,8,5
Bratislava,0.8638109125744456,-1.4098449187611877,8,8,6,10,10,4,8,6,6
Brighton,-1.6579790604874929,-0.7698290936938553,4,6,6,8,10,6,10,6,3
Brisbane,-1.6510238407424433,-0.7091231026806931,6,6,6,10,8,6,10,8,6
Bristol,-0.9247470493227316,-0.8630137876550521,6,6,6,10,8,6,8,6,6
Brno,0.8726130397638582,-1.5832440106229646,10,8,6,10,10,6,8,6,6
Brussels,-0.4713670787987662,-0.2345033703769087,8,6,6,8,8,8,6,6,4
Bucharest,2.1193417434168507,-0.9873669843489292,10,10,6,10,10,4,4,6,2
Budapest,1.09926479069827,-0.846385492762575,10,8,6,6,10,4,6,6,2
Buenos Aires,2.2251296239116223,0.048130662390041073,10,8,6,8,8,2,6,4,2
Buffalo,-0.8126024740291408,1.1368141023026292,8,6,4,6,8,6,10,8,4
Cairo,3.739456361590364,0.38962672991206987,10,10,4,10,8,2,2,4,2
Calgary,-1.0102435372802594,-0.7568125693899178,8,6,6,6,8,6,10,6,4
Cambridge,-1.7629123117083696,-1.5846354307355477,6,6,6,10,10,8,10,6,3
Cape Town,1.592461829270416,0.5850558927193708,8,8,4,10,6,2,8,4,2
Caracas,2.8679963923553395,1.1605842346320532,6,10,6,6,6,2,4,2,2
Cardiff,-0.09874099719313183,-0.6333494222762263,8,8,6,2,10,6,8,6,4
Casablanca,3.149631746601091,0.36020574871845584,10,10,6,10,8,2,4,4,2
Charleston,-1.3358103767305425,1.0777201396605671,6,4,6,6,6,4,8,8,1
Charlotte,-1.0759690019115387,0.714033711069972,6,6,6,10,6,4,10,8,1
Chattanooga,-0.42653050875084947,2.417285160523602,8,8,2,10,6,4,8,8,1
Chennai,2.7897822872759854,-0.19729524493569853,10,10,6,10,8,2,4,6,2
Chiang Mai,2.7757343575800206,-0.6456518565772834,10,10,6,4,10,2,4,4,2
Chicago,-2.118771207650933,1.0192924016226268,4,6,6,6,4,8,8,8,1
Chisinau,2.4680590639658986,-0.8544471727050793,10,10,6,10,8,2,6,4,2
Christchurch,-0.9169266421265797,-0.8753278744008104,8,6,6,6,8,6,10,6,4
Cincinnati,-0.6104024944656561,0.30922234691316014,8,8,6,10,6,6,8,8,1
Cleveland,-0.66776710766564,0.9091746837140763,8,6,6,10,4,6,8,8,1
Cluj-Napoca,1.5920286543728934,-1.865387462245451,10,10,6,10,10,4,8,6,2
Cologne,-0.40574838797545437,-0.2622890547696579,8,6,6,6,8,6,8,6,4
Colorado Springs,-0.9072143664721847,1.5963324515004462,8,6,2,10,6,4,10,8,1
Columbus,-1.1014017431175571,0.028926662088018213,8,6,6,10,6,6,10,8,1
Copenhagen,-1.6367835526245655,-1.6064181815948544,6,4,8,10,10,6,10,6,3
Cork,-1.6822934118387731,-1.1049966776695237,6,6,6,10,10,6,10,8,6
Curitiba,2.168329773630753,-0.531407323091909,10,10,6,10,6,2,8,4,2
Dallas,-0.6923803903598769,1.3254173207281248,6,8,6,4,6,6,8,8,4
Dar es Salaam,2.1139836064749318,2.0292755815827914,8,10,4,10,8,2,4,6,2
Delhi,2.863557660425409,1.2003723498592376,10,10,4,4,8,2,4,6,2
Denver,-1.1494029625555544,1.1361141702009514,4,6,6,4,6,4,8,8,4
Des Moines,-0.6866269597546579,0.8576358274801756,8,8,4,10,8,4,10,8,1
Detroit,-0.4196712799417838,2.5337227377346783,8,8,2,10,6,6,6,8,1
Doha,-1.1475082445771112,0.4524244110569629,4,8,6,10,10,2,4,10,3
Dresden,-0.4023386766825815,-1.1038366412394587,8,8,6,8,10,6,10,6,6
Dubai,-1.3572992252863982,0.20459952205098123,4,6,6,10,10,4,8,8,3
Dublin,-2.301314065761644,0.004363610384787409,4,6,6,10,8,6,8,8,3
Dusseldorf,-0.6160217582718376,-0.8460917096383143,8,6,6,10,10,6,8,6,6
Edinburgh,-1.193135081926287,-1.513774994367614,6,6,6,10,10,8,8,6,6
Edmonton,-1.0753070809617542,-0.7857723134817356,8,6,6,10,8,6,10,6,6
Eindhoven,-0.992752482241197,-1.8119024871177605,8,6,8,10,10,6,10,6,6
Eugene,-0.9885106815549801,-0.41842025086213647,8,6,6,10,8,6,10,8,6
Florence,0.2538303324885029,-1.1735299553499792,8,6,8,10,8,6,8,4,6
Florianopolis,2.650601842382227,-0.10187241263230962,10,10,6,8,8,2,6,4,2
Fort Collins,-2.999855336419763,1.9391821540169754,4,2,4,4,8,6,10,8,5
Frankfurt,-0.6942216689379278,-0.7200922680298708,6,6,6,10,8,6,8,6,6
Fukuoka,-2.002346015884468,1.1565908631678314,6,2,2,10,10,6,8,4,5
Galway,-1.4176858824748972,-1.1114580030100807,8,6,6,10,10,6,8,8,6
Gdansk,0.43449436560706184,-1.6373635862842448,10,10,6,10,10,6,8,6,6
Geneva,-3.1944357026629704,-0.4386324869057244,2,2,8,6,10,6,10,8,3
Gibraltar,0.0774813727878134,2.1585803145228653,2,2,2,10,10,2,6,2,5
Glasgow,-0.3935815892749523,-0.22493849406777616,8,6,6,2,8,6,8,6,4
Gothenburg,-0.9644139677203982,-1.132609006730541,8,6,6,10,8,6,10,6,6
Grenoble,-0.014099609810628737,-0.38739801460939205,8,6,6,10,6,6,8,6,6
Guadalajara,2.844651084917185,0.1587117796229105,10,10,6,10,8,2,4,4,2
Guatemala City,2.582129697212279,2.448438448234988,10,10,2,6,8,2,4,4,2
Halifax,-0.8484543206566072,-0.46905457605388606,8,6,6,6,8,6,8,6,4
Hamburg,-0.8757663219216791,-0.6576331376342801,6,6,6,10,8,6,10,6,6
Hannover,-0.5966990773517984,-1.6830581558070419,8,8,8,10,8,6,10,6,6
Havana,2.7739203550049254,1.5518143535610365,10,8,2,10,10,2,4,4,2
Helsinki,-1.086286097313571,-1.1022949522201477,6,6,6,2,10,6,10,4,4
Ho Chi Minh City,1.9046814446210898,-0.24727240059975047,10,10,6,10,8,6,2,6,2
Hong Kong,-2.575491898091012,-0.7241165228131168,2,6,6,6,10,10,6,8,3
Honolulu,-1.948018557054494,0.7727985958621406,4,4,6,10,8,6,8,8,3
Houston,-0.6569611689101666,1.5577419986619718,6,8,6,10,4,6,6,8,1
Hyderabad,2.808187392042124,-0.1863297285704922,10,10,6,10,10,2,4,6,2
Indianapolis,-0.36746575572915174,1.304209641673317,8,6,6,4,4,4,8,8,4
