x,y,Housing,Cost of Living,Commute,Business Freedom,Safety,Education,Environmental Quality,Economy,Clusters
-2.112005390859236,-4.494072447497466,8,6,8,10,10,6,8,6,1
-0.6507917477421318,-3.3822608643404446,8,6,6,10,8,6,10,8,1
4.575672100592793,2.771684970227754,8,8,6,10,2,6,8,8,1
-2.0467067797419802,5.164371818323274,10,10,6,6,8,4,4,6,2
0.9788835437934167,-5.439359468745219,4,4,8,10,10,8,8,6,0
4.2554422549702124,-2.8540763616752,6,4,6,10,4,4,10,8,1
1.130841304740849,9.803747314361951,10,10,6,2,8,4,4,6,2
4.053342671873987,-0.029447234106647693,6,6,2,6,6,4,10,8,1
-5.121887186692085,4.381374388183152,10,10,6,10,8,2,4,6,2
0.1462094521173534,5.259053777969215,10,8,6,4,8,4,4,4,2
5.327422686038054,0.2400028873715149,6,6,4,8,4,8,6,8,1
0.9189201400586143,-3.326244886847458,6,6,6,10,8,6,10,6,1
2.256475158740619,-2.938205469171129,6,6,6,10,6,6,8,8,1
-6.467408609154004,5.003715334672476,10,10,6,10,10,2,4,4,2
7.605743474580028,2.1978655822951803,6,2,6,6,10,2,6,6,0
6.313034331557051,1.1471007964807027,6,6,6,4,4,6,6,8,1
-1.332843792194749,4.891763934086177,8,8,6,6,8,2,4,4,2
0.24329485921153812,2.2289123974249625,8,8,6,6,8,6,4,6,1
3.09710801001274,4.904755351386994,8,10,6,8,8,8,4,8,1
0.7525694509853803,6.905923790658964,8,8,6,4,8,2,2,4,2
1.3307096647601728,0.5648667230784448,8,8,6,6,8,6,10,6,1
-5.983210663493802,3.321033051291028,10,10,6,10,8,2,6,2,2
8.426884252916057,5.823739882525946,6,2,2,6,8,2,4,4,0
-1.5607368052366462,8.343756143203763,10,10,6,4,8,2,4,6,2
5.766656164571821,-2.6907444024640133,6,2,6,4,8,6,8,8,0
-1.3252934594906227,-3.3555419017469053,8,6,8,10,8,8,8,6,1
0.5878445350123785,-7.085447224136528,6,2,6,10,10,6,10,8,0
